BCW-ID,old_ID
BCW-201894,001
BCW-201868,002
BCW-201880,003
BCW-201936,004
BCW-201895,006
BCW-201870,007
BCW-201856,008
BCW-201173,009
BCW-200726,010
BCW-200328,011
BCW-200444,014
BCW-201809,015
BCW-201813,016
BCW-201889,017
BCW-200902,018
BCW-201878,019
BCW-201085,020
BCW-201933,021
BCW-201917,022
BCW-201885,023
BCW-200926,024
BCW-201818,025
BCW-201867,026
BCW-200443,027
BCW-201831.1,028-1
BCW-201831.2,028-2
BCW-201879,029
BCW-201882,030
BCW-200727,031
BCW-201236,032
BCW-200566,033
BCW-201866,034
BCW-201876,036
BCW-201883,037
BCW-201187,038
BCW-201884,039
BCW-201152,041
BCW-201303,042
BCW-201874,043
BCW-200808,044
BCW-201083,045
BCW-200596,046
BCW-201153,048
BCW-201834,049
BCW-201888,051
BCW-200279,052
BCW-201815,053
BCW-201859,054
BCW-201858,055
BCW-200270,056
BCW-201910,058
BCW-201045,059
BCW-200661,060
BCW-201887,061
BCW-200556,062
BCW-201851,064
BCW-200621,065
BCW-201873,066
BCW-201849,067
BCW-201860,068
BCW-200810,069
BCW-200488,070
BCW-201840,071
BCW-200533,072
BCW-201245,073
BCW-201025,074
BCW-201260,075
BCW-201162,076
BCW-201185,077
BCW-201259,078
BCW-201877,079
BCW-201824,081
BCW-201832,082
BCW-201844,083
BCW-201836,084
BCW-201926,085
BCW-201847,087
BCW-200885,088
BCW-200620,089
BCW-201939,090
BCW-200570,091
BCW-201808,092
BCW-200882,093
BCW-201915,094
BCW-201835,095
BCW-201825,096
BCW-200665,098
BCW-200938,099
BCW-201814,100
BCW-201850,101
BCW-201875,102
BCW-200290,103
BCW-201901,104
BCW-200473,105
BCW-200883,106
BCW-201909,109
BCW-201990,110
BCW-201659,111
BCW-201886,112
BCW-200939,113
BCW-201176,114
BCW-200955,115
BCW-201897,116
BCW-200561,117
BCW-200904,118
BCW-201084,119
BCW-201819,120
BCW-200725,121
BCW-201862,122
BCW-201098,124
BCW-200498,125
BCW-200539,126
BCW-201916,127
BCW-200662,128
BCW-200723,129
BCW-201090,130
BCW-200715,131
BCW-201830,132
BCW-200517,133
BCW-201861,134
BCW-201823,135
BCW-201014,136
BCW-201881,137
BCW-200722,138
BCW-201899,139
BCW-200496,140
BCW-201864,141
BCW-201872,142
BCW-201838,143
BCW-200505,144
BCW-200275,145
BCW-200705,146
BCW-200607,147
BCW-201900,148
BCW-200600,149
BCW-200724,150
BCW-200599,151
BCW-200847,152
BCW-200986,153
BCW-201902,155
BCW-200669,156
BCW-201290,157
BCW-200307,158
BCW-201812,159
BCW-200552,160
BCW-201019,161
BCW-201703,162
BCW-201079,163
BCW-201151,164
BCW-200449,165
BCW-201056,166
BCW-201263,167
BCW-200266,169
BCW-201848,171
BCW-200274,172
BCW-201871,173
BCW-201954,174
BCW-200470,175
BCW-200565,176
BCW-200920,177
BCW-201891,178
BCW-201865,179
BCW-200529,180
BCW-200821,181
BCW-201315,182
BCW-200991,183
BCW-201972,184
BCW-200736,185
BCW-201833,186
BCW-200828,187
BCW-200598,189
BCW-201845,191
BCW-201097,192
BCW-200567,193
BCW-200542,194
BCW-200446,195
BCW-200648,196
BCW-200460,197
BCW-200547,198
BCW-200718,199
BCW-201827,200
BCW-201896,201
BCW-201175,202
BCW-200634,203
BCW-200815,204
BCW-200951,205
BCW-200471,206
BCW-200642,208
BCW-200912,209
BCW-201184,210
BCW-201957,211
BCW-201853,213
BCW-200801,215
BCW-200525,216
BCW-201826,217
BCW-201302,218
BCW-200462,219
BCW-200477,220
BCW-201008,222
BCW-200578,223
BCW-201945,224
BCW-201726,225
BCW-200800,226
BCW-200516,227
BCW-200776,228
BCW-201938,229
BCW-200555,230
BCW-200983,232
BCW-201839,233
BCW-200797,234
BCW-200656,235
BCW-200881,236
BCW-200855,237
BCW-201304,238
BCW-200281,239
BCW-200574,240
BCW-200458,241
BCW-200903,242
BCW-200650,243
BCW-200553,244
BCW-201854,245
BCW-200886,247
BCW-201975,248
BCW-200588,249
BCW-200312,250
BCW-200806,251
BCW-201257,252
BCW-200880,253
BCW-200952,254
BCW-201450,255
BCW-200436,256
BCW-201445,257
BCW-201010,259
BCW-200557.1,260-1
BCW-200557.2,260-2
BCW-200545,261
BCW-200647,263
BCW-200544,264
BCW-200915,265
BCW-201903,266
BCW-200798,268
BCW-201444,269
BCW-201614,270
BCW-200716,271
BCW-201828,272
BCW-201013,274
BCW-200887,275
BCW-201649,276
BCW-201982,277
BCW-201949,278
BCW-201937,279
BCW-201081,280
BCW-201890,281
BCW-201721,282
BCW-200438,283
BCW-201914,284
BCW-200649,287
BCW-200476,288
BCW-201615,289
BCW-200909,290
BCW-201350,292
BCW-201267,294
BCW-200988,295
BCW-200499,296
BCW-200440,297
BCW-200879,298
BCW-200984,299
BCW-200641,300
BCW-200311,301
BCW-200327,302
BCW-200791,303
BCW-200775,304
BCW-201648,305
BCW-200442,306
BCW-200559,307
BCW-200308,308
BCW-200989,310
BCW-202001,311
BCW-200464,312
BCW-200820,313
BCW-200514,314
BCW-200663,316
BCW-200271,318
BCW-200814,320
BCW-201082,321
BCW-200564,322
BCW-201186,323
BCW-201075,324
BCW-200818,325
BCW-202005,326
BCW-201059,327
BCW-201021,328
BCW-200945,330
BCW-200268,331
BCW-201044,332
BCW-201258,333
BCW-200272,334
BCW-201007,335
BCW-200589,336
BCW-201461,337
BCW-201024,338
BCW-201071,339
BCW-201842,340
BCW-201238,341
BCW-201154,342
BCW-201911,344
BCW-200994,345
BCW-200717,346
BCW-201995,347
BCW-200735,348
BCW-200738,349
BCW-200527,350
BCW-200993,352
BCW-201947,353
BCW-200508,354
BCW-200651,355
BCW-200276,356
BCW-200587,357
BCW-201811,358
BCW-201103,359
BCW-201036,360
BCW-200521,361
BCW-201070,362
BCW-201441,363
BCW-200660,364
BCW-200497,365
BCW-200704,366
BCW-200465,367
BCW-201248,368
BCW-201088,369
BCW-201662,370
BCW-201078,371
BCW-200931,372
BCW-201443,374
BCW-200528,375
BCW-200667,376
BCW-201020,377
BCW-201857,378
BCW-201293,380
BCW-201155,381
BCW-201051,382
BCW-200944,383
BCW-200526,384
BCW-200302,385
BCW-200874,386
BCW-200790,387
BCW-201653,388
BCW-200319,389
BCW-200892,390
BCW-200624,391
BCW-200432,392
BCW-201091,393
BCW-200437,394
BCW-200910,395
BCW-200509,396
BCW-201054,398
BCW-201997,399
BCW-201620,400
BCW-200315,401
BCW-200644,402
BCW-201654,403
BCW-201297,404
BCW-200973,405
BCW-200317,406
BCW-201453,407
BCW-202006,408
BCW-200785,409
BCW-200891,410
BCW-201292,411
BCW-200577,412
BCW-201058,413
BCW-201028,414
BCW-200267,415
BCW-200646,418
BCW-200990,419
BCW-200269,420
BCW-201107,421
BCW-200294,424
BCW-201919,425
BCW-200001,BCW_200001
BCW-200002,BCW_200002
BCW-200003,BCW_200003
BCW-200004,BCW_200004
BCW-200005,BCW_200005
BCW-200006,BCW_200006
BCW-200007,BCW_200007
BCW-200008,BCW_200008
BCW-200009,BCW_200009
BCW-200010,BCW_200010
BCW-200011,BCW_200011
BCW-200012,BCW_200012
BCW-200013,BCW_200013
BCW-200014,BCW_200014
BCW-200015,BCW_200015
BCW-200016,BCW_200016
