ID,Genus,Ara,Ara/Gal/Xyl,Fuc,Gal,Gal/GlcA/Fuc/Xyl,Gal/Man,Gal/Xyl,GlcA/Xyl,Man
BCW-200001,Acidovorax,0,0,0,1,0,2,0,0,4
BCW-200002,unassigned,1,0,0,3,0,8,0,0,4
BCW-200003,Lelliottia,1,0,0,2,0,4,0,0,6
BCW-200008,Acinetobacter,1,0,0,2,0,6,0,0,4
BCW-200009,Enterobacter,1,0,0,2,0,6,0,0,6
BCW-200011,Acidovorax,0,0,0,3,0,3,0,0,4
BCW-200012,Enterobacter,1,0,0,2,0,4,0,0,7
BCW-200013,Enterobacter,1,0,0,2,0,5,0,0,6
BCW-200014,Enterobacter,1,0,0,2,0,7,0,0,5
BCW-200015,Enterobacter,1,0,0,2,0,5,0,0,6
BCW-200016,Enterobacter,1,0,0,2,0,7,0,0,5
BCW-200017,Enterobacter,1,0,0,2,0,6,0,0,6
BCW-200018,Enterobacter,1,0,0,2,0,6,0,0,7
BCW-200023,Enterobacter,1,0,0,2,0,6,0,0,7
BCW-200025,Enterobacter,1,0,0,2,0,6,0,0,7
BCW-200026,Enterobacter,1,0,0,2,0,6,0,0,6
BCW-200027,Enterobacter,1,0,0,2,0,6,0,0,7
BCW-200028,unassigned,1,0,0,3,0,4,0,0,5
BCW-200029,Enterobacter,1,0,0,2,0,6,0,0,7
BCW-200030,Raoultella,1,0,0,3,0,3,0,0,5
BCW-200031,Citrobacter,1,0,0,4,0,8,0,0,5
BCW-200032,Acinetobacter,1,0,0,2,0,9,0,0,4
BCW-200033,Lelliottia,1,0,0,2,0,4,0,0,5
BCW-200034,Enterobacter,1,0,0,2,0,7,0,0,5
BCW-200035,Enterobacter,1,0,0,2,0,7,0,0,5
BCW-200036,Citrobacter,1,0,0,4,0,6,0,0,5
BCW-200040,Lelliottia,1,0,0,2,0,4,0,0,6
BCW-200041,Enterobacter,1,0,0,2,0,6,0,0,7
BCW-200043,Enterobacter,1,0,0,2,0,5,0,0,3
BCW-200044,Acinetobacter,1,0,0,2,0,6,0,0,3
BCW-200046,Pseudomonas,2,0,0,2,0,7,0,0,8
BCW-200047,Enterobacter,1,0,0,2,0,6,0,0,6
BCW-200049,Klebsiella,1,0,0,3,0,6,0,0,8
BCW-200050,Enterobacter,1,0,0,2,0,7,0,0,5
BCW-200051,Lactococcus,0,0,0,1,0,6,0,0,11
BCW-200053,Klebsiella,1,0,0,3,0,6,0,0,8
BCW-200054,Enterobacter,1,0,0,2,0,6,0,0,7
BCW-200055,Enterobacter,1,0,0,2,0,6,0,0,7
BCW-200056,Pseudomonas,2,0,0,1,0,5,0,0,8
