HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT2_Glyco_trans_2_3.hmm	197	BCW-201902_00010	724	1.4e-48	2	196	166	384	0.9847715736040609
GH103.hmm	295	BCW-201902_00217	339	4.7e-107	36	294	2	262	0.8745762711864407
GT2_Glycos_transf_2.hmm	170	BCW-201902_00257	300	1.1e-24	1	169	15	180	0.9882352941176471
GH19.hmm	231	BCW-201902_00285	188	5.7e-36	55	197	36	165	0.6147186147186147
GH77.hmm	494	BCW-201902_00434	692	6.6e-149	1	488	157	680	0.9858299595141701
CE4.hmm	130	BCW-201902_00459	308	1.5e-16	20	124	80	184	0.8
AA3.hmm	618	BCW-201902_01119	736	5e-44	86	403	2	611	0.5129449838187702
GH1.hmm	429	BCW-201902_01258	456	7.7e-168	4	428	3	453	0.9883449883449883
GH36.hmm	688	BCW-201902_01370	707	4.1e-243	2	672	6	651	0.9738372093023255
GH103.hmm	295	BCW-201902_01396	336	2.2e-105	10	294	44	329	0.9627118644067797
GH23.hmm	135	BCW-201902_01608	180	2e-17	15	134	54	176	0.8814814814814815
CE10.hmm	341	BCW-201902_01635	318	2.9e-35	81	309	56	292	0.6686217008797654
GH3.hmm	216	BCW-201902_01683	908	5.2e-67	8	216	129	363	0.9629629629629629
CBM4.hmm	126	BCW-201902_01684	779	4.5e-29	1	126	39	158	0.9920634920634921
GH9.hmm	418	BCW-201902_01684	779	1.2e-120	2	416	275	768	0.9904306220095693
GH1.hmm	429	BCW-201902_01691	459	1.7e-147	1	428	1	458	0.9953379953379954
GH23.hmm	135	BCW-201902_01737	464	2e-23	10	122	276	427	0.8296296296296296
GH5_13.hmm	275	BCW-201902_01751	362	8.2e-110	1	275	30	312	0.9963636363636363
GH5.hmm	275	BCW-201902_01874	314	1.2e-16	33	226	46	271	0.7018181818181818
GH43_11.hmm	292	BCW-201902_01892	559	1.2e-133	1	292	4	305	0.9965753424657534
GH1.hmm	429	BCW-201902_01970	476	9.3e-151	4	428	3	473	0.9883449883449883
GT51.hmm	177	BCW-201902_01997	774	2.8e-52	11	177	62	227	0.9378531073446328
GH23.hmm	135	BCW-201902_02027	538	5.6e-25	4	120	319	474	0.8592592592592593
GT19.hmm	354	BCW-201902_02121	376	3.4e-138	1	352	6	356	0.9915254237288136
GT4.hmm	160	BCW-201902_02183	364	6.7e-34	11	154	185	326	0.89375
CE1.hmm	227	BCW-201902_02270	281	2.7e-55	1	226	23	278	0.9911894273127754
GH23.hmm	135	BCW-201902_02318	473	1.1e-19	13	125	316	456	0.8296296296296296
AA6.hmm	195	BCW-201902_02463	198	2.7e-83	1	194	3	194	0.9897435897435898
GT1.hmm	382	BCW-201902_02490	371	1.1e-31	165	377	141	364	0.5549738219895288
CE1.hmm	227	BCW-201902_02492	413	3.5e-17	5	219	190	409	0.9427312775330396
GT2_Glycos_transf_2.hmm	170	BCW-201902_02513	842	3.4e-24	2	168	246	428	0.9764705882352941
GH3.hmm	216	BCW-201902_02554	340	1.8e-53	10	216	56	278	0.9537037037037037
GH24.hmm	137	BCW-201902_02611	176	1.6e-38	6	137	26	166	0.9562043795620438
GH23.hmm	135	BCW-201902_02768	384	7.4e-24	2	128	33	177	0.9333333333333333
GH3.hmm	216	BCW-201902_02873	336	1.7e-54	9	215	59	277	0.9537037037037037
GH19.hmm	231	BCW-201902_02940	545	1.3e-19	55	222	349	537	0.7229437229437229
GH23.hmm	135	BCW-201902_02971	91	1.6e-22	43	124	1	82	0.6
PL9.hmm	374	BCW-201902_03014	727	3.3e-107	6	365	373	723	0.9598930481283422
GH4.hmm	179	BCW-201902_03048	440	2e-70	2	178	6	182	0.9832402234636871
GT5.hmm	472	BCW-201902_03141	468	9.2e-160	9	471	1	465	0.9788135593220338
GT35.hmm	674	BCW-201902_03142	815	3.1e-283	1	673	101	810	0.9970326409495549
GH2.hmm	752	BCW-201902_03313	1035	1e-218	23	750	52	926	0.9667553191489362
GH88.hmm	329	BCW-201902_03321	392	1.4e-124	4	329	59	383	0.9878419452887538
GH43_10.hmm	262	BCW-201902_03327	505	3.9e-79	1	262	6	275	0.9961832061068703
GT4.hmm	160	BCW-201902_03458	376	7.5e-35	9	157	195	340	0.925
GT4.hmm	160	BCW-201902_03527	360	4.4e-35	7	148	188	322	0.88125
GT4.hmm	160	BCW-201902_03699	371	5.9e-34	6	154	182	326	0.925
AA10.hmm	178	BCW-201902_03702	211	5.9e-38	1	178	12	209	0.9943820224719101
GT35.hmm	674	BCW-201902_04030	816	1.1e-259	1	672	99	813	0.9955489614243324
GH102.hmm	157	BCW-201902_04141	390	1.8e-55	2	156	127	279	0.9808917197452229
GT26.hmm	171	BCW-201902_04452	246	3e-62	2	171	62	231	0.9883040935672515
GT56.hmm	357	BCW-201902_04454	359	1.5e-168	1	356	1	352	0.9943977591036415
AA3.hmm	618	BCW-201902_04539	531	1.4e-50	87	397	28	524	0.5016181229773463
GT9.hmm	225	BCW-201902_04656	353	2.5e-46	3	221	77	314	0.9688888888888889
GT2_Glycos_transf_2.hmm	170	BCW-201902_04785	860	5.2e-25	2	168	254	436	0.9764705882352941
GH50.hmm	653	BCW-201902_04805	833	3.5e-270	11	649	78	786	0.9770290964777948
GH23.hmm	135	BCW-201902_04959	645	1.9e-31	18	121	497	622	0.762962962962963
GT28.hmm	157	BCW-201902_05057	348	2.9e-48	2	157	177	333	0.9872611464968153
CE11.hmm	271	BCW-201902_05063	305	1.4e-121	1	270	4	276	0.992619926199262
GH43_26.hmm	292	BCW-201902_05077	316	3.7e-124	3	292	6	306	0.9897260273972602
CE4.hmm	130	BCW-201902_05101	415	2.1e-28	4	128	233	377	0.9538461538461539
CBM41.hmm	102	BCW-201902_05125	1090	2e-17	10	101	75	171	0.8921568627450981
GH13_13.hmm	383	BCW-201902_05125	1090	6.6e-199	1	383	468	888	0.9973890339425587
GT51.hmm	177	BCW-201902_05129	848	4.8e-55	5	175	204	378	0.96045197740113
GT19.hmm	354	BCW-201902_05160	382	1.4e-140	1	353	9	366	0.9943502824858758
GH4.hmm	179	BCW-201902_05229	448	2.4e-69	1	178	5	185	0.9888268156424581
GH4.hmm	179	BCW-201902_05342	435	5.5e-64	1	177	5	183	0.9832402234636871
GH13_29.hmm	345	BCW-201902_05344	551	7.1e-197	1	345	29	372	0.9971014492753624
GH20.hmm	337	BCW-201902_05348	797	4.9e-121	8	337	157	588	0.9762611275964391
GH43_11.hmm	292	BCW-201902_05388	539	2.5e-137	1	292	4	304	0.9965753424657534
GT2_Glycos_transf_2.hmm	170	BCW-201902_05533	976	4e-16	11	169	715	884	0.9294117647058824
CE1.hmm	227	BCW-201902_05668	238	2.8e-16	21	211	36	223	0.8370044052863436
PL5_1.hmm	317	BCW-201902_05865	374	8.1e-187	1	316	28	345	0.9936908517350158
GT30.hmm	177	BCW-201902_05925	423	3.3e-74	1	176	33	213	0.9887005649717514
GT51.hmm	177	BCW-201902_06007	852	3.1e-69	1	176	54	229	0.9887005649717514
GH77.hmm	494	BCW-201902_06026	696	2e-162	1	490	149	686	0.9898785425101214
GT35.hmm	674	BCW-201902_06027	796	7.2e-263	2	673	92	794	0.9955489614243324
GT35.hmm	674	BCW-201902_06033	815	6.6e-285	1	673	101	810	0.9970326409495549
GT5.hmm	472	BCW-201902_06034	477	8.8e-164	1	471	2	474	0.9957627118644068
CBM48.hmm	76	BCW-201902_06036	658	1.1e-17	1	67	10	96	0.868421052631579
GH13_11.hmm	346	BCW-201902_06036	658	4.1e-140	1	346	173	521	0.9971098265895953
GH42.hmm	371	BCW-201902_06361	679	1.2e-113	2	370	10	376	0.9919137466307277
CE10.hmm	341	BCW-201902_06407	302	6.4e-72	41	327	22	298	0.8387096774193549
GT2_Glycos_transf_2.hmm	170	BCW-201902_06464	216	2.2e-18	2	132	4	132	0.7647058823529411
GT2_Glycos_transf_2.hmm	170	BCW-201902_06607	562	7.1e-20	1	121	8	127	0.7058823529411765
GT83.hmm	540	BCW-201902_06619	551	3.4e-152	8	523	5	518	0.9537037037037037
GT2_Glycos_transf_2.hmm	170	BCW-201902_06622	327	3.2e-33	1	166	11	171	0.9705882352941176
GH37.hmm	491	BCW-201902_06652	550	2e-180	1	490	71	545	0.9959266802443992
GH8.hmm	320	BCW-201902_06664	369	1.2e-95	1	319	26	344	0.99375
GT2_Glycos_transf_2.hmm	170	BCW-201902_06666	872	5.6e-36	1	169	276	446	0.9882352941176471
GH8.hmm	320	BCW-201902_06672	333	2e-82	2	319	25	328	0.990625
GT2_Glycos_transf_2.hmm	170	BCW-201902_06676	703	8.6e-35	1	169	130	300	0.9882352941176471
GH103.hmm	295	BCW-201902_06780	358	9.5e-95	8	291	63	349	0.9593220338983051
GH1.hmm	429	BCW-201902_06800	474	2.6e-145	4	428	3	470	0.9883449883449883
GH102.hmm	157	BCW-201902_06904	365	4.2e-40	1	157	126	257	0.9936305732484076
GH1.hmm	429	BCW-201902_06935	475	3.7e-117	4	426	7	463	0.9836829836829837
GH32.hmm	293	BCW-201902_06947	477	1.6e-108	1	292	28	328	0.9931740614334471
PL22.hmm	265	BCW-201902_06952	391	3.9e-29	133	233	32	133	0.37735849056603776
PL22.hmm	265	BCW-201902_06952	391	4e-81	1	172	215	386	0.6452830188679245
GT2_Glycos_transf_2.hmm	170	BCW-201902_07094	322	8.9e-30	1	166	16	177	0.9705882352941176
GT2_Glyco_tranf_2_3.hmm	230	BCW-201902_07235	451	3.2e-36	4	228	77	297	0.9739130434782609
GH153.hmm	349	BCW-201902_07236	379	3.7e-172	2	348	25	374	0.9914040114613181
GH3.hmm	216	BCW-201902_07377	783	1.3e-63	6	216	34	283	0.9722222222222222
GH13_31.hmm	350	BCW-201902_07453	561	3.9e-131	1	348	32	380	0.9914285714285714
CE4.hmm	130	BCW-201902_07547	333	5.5e-28	6	124	86	289	0.9076923076923077
CE10.hmm	341	BCW-201902_07549	274	1.2e-66	66	337	8	273	0.7947214076246334
GH73.hmm	128	BCW-201902_07610	185	1.8e-39	2	127	31	170	0.9765625
AA3.hmm	618	BCW-201902_07659	1059	1.3e-95	152	618	2	695	0.7540453074433657
CBM20.hmm	90	BCW-201902_07707	146	1e-19	2	84	34	132	0.9111111111111111
GT83.hmm	540	BCW-201902_07739	285	5.2e-39	263	524	2	250	0.48333333333333334
GT9.hmm	225	BCW-201902_07872	382	2.9e-28	4	203	133	356	0.8844444444444445
GH4.hmm	179	BCW-201902_07890	442	2.1e-68	2	178	7	183	0.9832402234636871
GH13_31.hmm	350	BCW-201902_07893	599	2.8e-180	1	349	70	416	0.9942857142857143
GH18.hmm	296	BCW-201902_07948	417	2.4e-73	5	288	25	408	0.956081081081081
GH4.hmm	179	BCW-201902_07972	448	1.4e-77	1	178	6	185	0.9888268156424581
GH23.hmm	135	BCW-201902_08103	487	3.9e-24	2	128	114	258	0.9333333333333333
GT4.hmm	160	BCW-201902_08161	234	7.3e-38	10	157	56	203	0.91875
AA6.hmm	195	BCW-201902_08176	192	1.3e-45	1	194	3	184	0.9897435897435898
GT51.hmm	177	BCW-201902_08238	220	1.8e-49	12	176	35	198	0.9265536723163842
AA7.hmm	458	BCW-201902_08374	499	1.8e-21	13	194	54	242	0.3951965065502183
PL7_1.hmm	219	BCW-201902_08377	222	3.4e-107	1	219	2	220	0.9954337899543378
GT83.hmm	540	BCW-201902_08404	504	2.4e-75	4	366	5	386	0.6703703703703704
GT83.hmm	540	BCW-201902_08405	342	1.4e-61	208	533	2	316	0.6018518518518519
GH23.hmm	135	BCW-201902_08424	136	1.2e-26	32	121	3	112	0.6592592592592592
CE10.hmm	341	BCW-201902_08478	306	1e-67	46	331	28	298	0.8357771260997068
CE10.hmm	341	BCW-201902_08579	360	1.1e-25	87	321	125	346	0.6862170087976539
GT5.hmm	472	BCW-201902_08628	474	5.9e-146	6	472	2	462	0.9872881355932204
GH1.hmm	429	BCW-201902_08747	477	2e-148	4	428	5	474	0.9883449883449883
CE11.hmm	271	BCW-201902_08765	169	3.7e-57	133	270	2	141	0.5055350553505535
CE9.hmm	373	BCW-201902_08976	377	8.6e-126	3	373	7	372	0.9919571045576407
GT51.hmm	177	BCW-201902_09043	241	4.3e-56	9	177	59	227	0.9491525423728814
CE10.hmm	341	BCW-201902_09145	223	2.9e-33	98	334	2	218	0.6920821114369502
GH23.hmm	135	BCW-201902_09370	390	4.1e-21	17	122	239	385	0.7777777777777778
AA6.hmm	195	BCW-201902_09459	198	1.8e-70	2	194	6	194	0.9846153846153847
GT4.hmm	160	BCW-201902_09462	321	1.2e-21	5	159	140	293	0.9625
GT2_Glyco_tranf_2_3.hmm	230	BCW-201902_09517	493	8.7e-53	1	230	86	342	0.9956521739130435
GH24.hmm	137	BCW-201902_09734	180	1.9e-38	7	137	29	170	0.948905109489051
GH31.hmm	427	BCW-201902_09773	788	1.1e-129	1	425	237	681	0.9929742388758782
GH1.hmm	429	BCW-201902_09778	457	5.6e-130	3	428	2	454	0.9906759906759907
CE8.hmm	288	BCW-201902_09835	427	1.6e-55	10	261	90	419	0.8715277777777778
CE9.hmm	373	BCW-201902_09910	382	8e-121	2	373	5	376	0.9946380697050938
CE1.hmm	227	BCW-201902_09998	410	7.6e-19	1	217	174	387	0.9515418502202643
CE1.hmm	227	BCW-201902_10038	540	1.7e-27	2	222	297	514	0.9691629955947136
GH32.hmm	293	BCW-201902_10070	469	5.4e-98	1	293	31	336	0.9965870307167235
GH42.hmm	371	BCW-201902_10176	685	7.6e-163	1	370	19	391	0.9946091644204852
GH53.hmm	342	BCW-201902_10177	400	9.3e-148	1	342	40	399	0.9970760233918129
CBM34.hmm	120	BCW-201902_10265	605	4.5e-17	2	104	5	111	0.85
GH13_21.hmm	322	BCW-201902_10265	605	1.6e-172	2	322	175	495	0.9937888198757764
GH28.hmm	325	BCW-201902_10305	460	3.5e-85	6	306	62	425	0.9230769230769231
GT2_Glycos_transf_2.hmm	170	BCW-201902_10330	319	5.4e-24	2	130	8	143	0.7529411764705882
CE1.hmm	227	BCW-201902_10550	278	4.6e-53	1	224	21	273	0.9823788546255506
GH1.hmm	429	BCW-201902_10571	464	9e-148	3	428	2	459	0.9906759906759907
GH3.hmm	216	BCW-201902_10579	765	1.9e-64	3	215	98	319	0.9814814814814815
GT4.hmm	160	BCW-201902_10656	361	1.1e-26	8	142	195	321	0.8375
GH39.hmm	431	BCW-201902_10663	328	5.8e-23	69	327	78	311	0.5986078886310905
GT8.hmm	257	BCW-201902_10673	630	2.1e-57	22	256	269	546	0.9105058365758755
GT2_Glycos_transf_2.hmm	170	BCW-201902_10675	297	6e-16	2	112	5	113	0.6470588235294118
GT4.hmm	160	BCW-201902_10676	377	2.3e-28	4	159	190	347	0.96875
GT2_Glycos_transf_2.hmm	170	BCW-201902_10677	450	5.3e-36	1	165	11	179	0.9647058823529412
GH23.hmm	135	BCW-201902_10771	235	2.8e-19	14	112	18	157	0.725925925925926
GH108.hmm	86	BCW-201902_10839	437	1e-24	4	86	81	165	0.9534883720930233
GH145.hmm	296	BCW-201902_10867	433	5.3e-82	12	295	23	316	0.956081081081081
CE15.hmm	269	BCW-201902_10869	414	4.7e-83	1	268	27	414	0.9925650557620818
GH13_5.hmm	343	BCW-201902_10910	495	7.3e-150	2	342	30	373	0.9912536443148688
GT20.hmm	475	BCW-201902_10938	474	1.2e-168	13	475	2	453	0.9726315789473684
GH105.hmm	332	BCW-201902_10941	379	1.7e-114	10	332	60	376	0.9698795180722891
GH23.hmm	135	BCW-201902_11030	224	7.6e-18	4	118	59	218	0.8444444444444444
GH37.hmm	491	BCW-201902_11039	582	2.5e-187	1	490	61	536	0.9959266802443992
CE10.hmm	341	BCW-201902_11040	299	1.4e-20	79	316	60	280	0.6950146627565983
