ID,GT1,GT11,GT14,GT15,GT2,GT22,GT25,GT26,GT28,GT32,GT33,GT34,GT39,GT4,GT47,GT50,GT53,GT58,GT62,GT69,GT71,GT76,GT8,GT83,GT87,GT91
BCW-200001,0,0,0,0,4,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
BCW-200002,0,0,0,0,4,0,1,1,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200003,0,0,0,0,6,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200004,0,0,0,0,6,0,0,1,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200005,0,0,0,0,6,0,0,1,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200006,0,0,0,0,6,0,0,1,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200007,0,0,0,0,6,0,0,1,1,1,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200008,0,0,0,0,4,0,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200009,0,0,0,0,6,0,0,1,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200010,0,0,0,0,15,0,0,0,2,0,0,0,0,11,0,0,0,0,0,0,0,0,1,2,0,0
BCW-200011,0,0,0,0,4,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
BCW-200012,0,0,0,0,7,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200013,0,0,0,0,6,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200014,0,0,0,0,5,0,0,1,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200015,0,0,0,0,6,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0
BCW-200016,0,0,0,0,5,0,0,1,1,1,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0
